GENDER,ACTIVE,DISTRESS,DISLAT,DURATION,SMILAU,SOOTH,ATTRACT,COND,BEHAVE,BABYSEX,CUTENESS,CELL,TOTALNEG,TOTALPOS,REVTOTNE,TOTAL
1.0,4.88,4.7,4.38,2.73,3.0,4.4,6.0,2.0,2.0,1.0,1.0,3.0,13.96,10.13,7.039999999999999,17.17
1.0,4.88,4.95,4.5,2.91,3.47,3.8,5.0,2.0,2.0,1.0,1.0,3.0,14.33,10.18,6.67,16.85
1.0,6.18,6.05,6.06,2.91,2.07,4.18,7.0,2.0,2.0,1.0,1.0,3.0,18.29,9.16,2.710000000000001,11.870000000000001
2.0,5.18,5.95,6.0,3.82,2.6,4.9,7.0,2.0,2.0,1.0,1.0,4.0,17.13,11.32,3.870000000000001,15.190000000000001
2.0,5.0,4.4,5.25,3.55,3.0,4.5,6.0,2.0,2.0,1.0,1.0,4.0,14.65,11.05,6.35,17.4
2.0,4.35,4.8,4.69,3.27,2.8,3.64,6.0,2.0,2.0,1.0,1.0,4.0,13.84,9.709999999999999,7.16,16.869999999999997
2.0,5.12,5.05,5.0,3.64,3.13,4.3,7.0,2.0,2.0,1.0,1.0,4.0,15.17,11.07,5.83,16.9
2.0,4.53,4.45,4.31,3.09,3.87,5.0,7.0,2.0,2.0,1.0,1.0,4.0,13.29,11.96,7.710000000000001,19.67
2.0,4.47,4.55,4.44,3.0,3.13,3.7,5.0,2.0,2.0,1.0,1.0,4.0,13.46,9.83,7.539999999999999,17.369999999999997
2.0,4.65,4.25,4.25,3.45,3.47,3.94,4.0,2.0,2.0,1.0,1.0,4.0,13.15,10.86,7.85,18.71
2.0,5.53,5.05,5.34,2.73,2.6,4.2,6.0,2.0,2.0,1.0,1.0,4.0,15.92,9.530000000000001,5.08,14.610000000000001
2.0,5.0,5.25,5.38,3.55,3.2,4.2,5.0,2.0,2.0,1.0,1.0,4.0,15.629999999999999,10.95,5.370000000000001,16.32
2.0,3.94,4.0,3.63,4.18,4.2,4.55,7.0,2.0,2.0,1.0,1.0,4.0,11.57,12.93,9.43,22.36
2.0,6.0,5.0,5.44,3.18,3.4,4.82,8.0,2.0,2.0,1.0,1.0,4.0,16.44,11.4,4.559999999999999,15.959999999999999
2.0,5.35,5.8,5.13,3.55,2.93,3.7,3.0,2.0,2.0,1.0,1.0,4.0,16.279999999999998,10.18,4.720000000000002,14.900000000000002
1.0,3.71,3.75,3.25,3.73,5.07,5.2,7.0,3.0,1.0,2.0,1.0,5.0,10.71,14.0,10.29,24.29
1.0,4.82,4.0,4.13,4.18,4.07,4.09,7.5,3.0,1.0,2.0,1.0,5.0,12.95,12.34,8.05,20.39
1.0,4.94,3.15,3.44,5.64,6.2,5.5,9.0,3.0,1.0,2.0,1.0,5.0,11.53,17.34,9.47,26.810000000000002
1.0,4.0,3.65,3.75,4.09,4.0,4.0,5.0,3.0,1.0,2.0,1.0,5.0,11.4,12.09,9.6,21.689999999999998
1.0,4.53,3.85,4.0,4.18,4.93,4.8,8.0,3.0,1.0,2.0,1.0,5.0,12.38,13.91,8.62,22.53
1.0,4.65,4.2,4.13,5.82,5.53,6.3,5.0,3.0,1.0,2.0,1.0,5.0,12.98,17.65,8.02,25.669999999999998
1.0,3.53,3.9,3.69,4.0,4.27,4.7,7.0,3.0,1.0,2.0,1.0,5.0,11.12,12.969999999999999,9.88,22.85
1.0,4.0,3.85,3.31,3.09,5.07,4.09,8.0,3.0,1.0,2.0,1.0,5.0,11.16,12.25,9.84,22.09
1.0,4.18,3.6,3.56,3.91,4.93,4.8,7.0,3.0,1.0,2.0,1.0,5.0,11.34,13.64,9.66,23.3
1.0,3.88,3.6,3.82,4.64,4.47,4.5,7.0,3.0,1.0,2.0,1.0,5.0,11.3,13.61,9.7,23.31
1.0,3.18,2.45,2.25,5.73,6.0,6.0,6.0,3.0,1.0,2.0,1.0,5.0,7.880000000000001,17.73,13.12,30.85
